ADDRESS,AGREEMENT_TYPE,AIR_CONDITIONING,APPLIANCE,BATHROOM_NB,BEDROOM_NB,BUILDING_AMENITIES,COLLECTED_DATE,FURNISHED,LOCATION,MOVING_DATE,PARKING,PERSONAL_OUTDOOR_SPACE,PET_FRIENDLY,PRICE,SMOKING_PERMITTED,TELECOM,TYPE,UNIT_SIZE,UTILITIES,WEB_LINK
"H3X1E5, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Concierge,24 Hour Security",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.6458', '45.48923']}","July 1, 2021",0,Not Included,Yes,875,Yes,Not Included,Apartment,800,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/brand-newly-painted-semi-furnished-3-1-2-for-rent/1575947456
", quebec G1G 6k1 QC, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-71.29735', '46.89372']}","August 1, 2021",2,Not Included,Yes,875,No,Not Included,Apartment,700,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/condo-appartement-a-louer-3-5-et-4-5-charlesbourg-quebec/1575948614
"1200 boul. Pie-XI sud, Québec, QC, G3K 1J4",1 Year,Yes,,Bathrooms: 1,Bedrooms: 1,"Concierge,Bicycle Parking,Storage Space",12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-71.40456', '46.85126']}","July 1, 2022",1,Balcony,Yes,1050,No,,Apartment,900,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/nouveau-projet-a-val-belair/1562864843
"h4r1k4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1000,No,Not Included,Apartment,850,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948096
"Avenue Bruce, Westmount, QC H3Z 2E1, Canada",1 Year,No,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-73.58765', '45.48434']}","June 7, 2021",1,Balcony,Limited,2550,Outdoors only,Not Included,Townhouse,"1,250","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-bedroom-westmount-atwater-downtown-appartement-renovated/1575948673
"H4R1K4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1300,No,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-tout-inclus-promotion/1575947951
"h4r1k4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1300,No,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948212
"J7J2N2, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher",Bathrooms: 2,Bedrooms: 3,"Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['0.0', '0.0']}","August 1, 2021",0,Yard,Limited,1795,No,Not Included,Condo,"1,375","{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condos-de-luxe-neuf-a-louer-5-avec-2-sdb-et-terrasse/1575947852
", H7N5A4, LAVAL, QC",1 Year,No,"Laundry (In Unit),Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.70085', '45.55763']}","August 1, 2021",0,Balcony,No,,No,Not Included,Apartment,1,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-apartment-for-rent-1st-august/1575949038
"7460 Ave. de Lorimier, Montréal, QC H2E 3A4, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 3,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.60953', '45.55207']}","July 26, 2021",1,Yard,Limited,1500,Outdoors only,Not Included,Apartment,"1,000","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-sur-de-lorimier/1575949787
", quebec G1k 1W9 SK, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: Bachelor/Studio,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-71.23297', '46.81162']}","July 1, 2021",0,Not Included,Yes,690,No,Not Included,Apartment,150,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/beau-loft-1-1-2-a-louer-cite-limoilou-centre-ville-quebec/1575949126
"Trois-Rivières, QC G8T6X7, Canada",Month-to-month,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:29,Yes,"{'Type': 'Point', 'Coordinates': ['-72.53585', '46.3684']}","September 1, 2021",3+,Yard,No,,No,,Apartment,750,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/trois-rivieres/condos-appartements-aux-saveurs-de-lart-au-bord-de-la-riviere/1400121155
"87 Rue Sainte Catherine, Longueuil, QC J4H 2B2, Canada",1 Year,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 3,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.49514', '45.53375']}","August 1, 2021",1,Balcony,Limited,1475,Outdoors only,Not Included,Apartment,900,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/a-louer-5-entierement-renove-proche-du-cegep-edouard-m/1575949466
", H3P2C8, Mont Royal, QC",1 Year,No,"Laundry (In Unit),Fridge / Freezer",Bathrooms: 1,Bedrooms: 4,,12/07/2021 11:51:29,Yes,"{'Type': 'Point', 'Coordinates': ['-73.62889', '45.52016']}","August 1, 2021",1,Balcony,No,1800,No,Not Included,Apartment,"1,150","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mont-royal:-beau-7-1-2-ludem-hec-polytech-mil-4-cac-meublee/1575949092
", Hochelaga H1w 3r1 QC, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 3,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.53768', '45.54697']}","July 12, 2021",0,Balcony,Yes,850,Yes,Not Included,Apartment,"1,000","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-a-sous-louer/1575949375
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-un-furnished-3-1-2-condo-with-the-view-in-griffintown/1575947309
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/lease-transfer/1575949982
"156 Rachel Est, H2W1E2, Montreal, QC",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,Storage Space,12/07/2021 11:51:30,No,"{'Type': 'Point', 'Coordinates': ['-73.58008', '45.51956']}","August 1, 2021",0,Balcony,No,2195,No,Not Included,Apartment,715,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-de-luxe-ensoleille-sunny-luxury-condo/1575949943
"14 Place de la Concorde, Dollard-des-Ormeaux, QC H9B 1W2, Canada",1 Year,Yes,,Bathrooms: 1.5,Bedrooms: 4,,12/07/2021 11:51:30,No,"{'Type': 'Point', 'Coordinates': ['-73.79941', '45.49848']}","July 31, 2021",3+,Yard,Limited,2700,Outdoors only,Not Included,House,"1,060","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-bedroom-house-ddo-maison-de-4-chambres/1575946635
"Rue Choquette, Saint-Léonard, QC H1R 2Z8, Canada",1 Year,No,Laundry (In Unit),Bathrooms: 1,Bedrooms: 2 + Den,,12/07/2021 11:51:30,No,"{'Type': 'Point', 'Coordinates': ['-73.60917', '45.57802']}","July 11, 2021",0,Balcony,No,1080,Outdoors only,Not Included,Apartment,10,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-confort-1-080-dans-ce-4-a-st-leonard/1575754642
"581 Rue Ouimet, Saint-Laurent, QC H4L 3N9, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,,12/07/2021 11:51:30,Yes,"{'Type': 'Point', 'Coordinates': ['-73.67388', '45.50984']}","July 11, 2021",0,Yard,No,650,No,Not Included,Apartment,600,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-3-1-2-basement-1-min-walk-to-metro-du-college/1575947010
"795 75e Av, Laval, QC H7V 3X6, Canada",1 Year,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,Storage Space,12/07/2021 11:51:30,No,"{'Type': 'Point', 'Coordinates': ['-73.74102', '45.54265']}","August 1, 2021",1,Balcony,Yes,1499,Outdoors only,Not Included,Condo,905,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condo-4-1-2-renove-a-chomedy-laval/1575947038
"2404 av. Montclair, H4B 2J1, Montréal, QC",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: Bachelor/Studio,,12/07/2021 11:51:30,Yes,"{'Type': 'Point', 'Coordinates': ['-73.62855', '45.461']}","August 1, 2021",0,Balcony,No,480,Outdoors only,Not Included,Apartment,50,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-1-5/1575946883
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-chambres-grande-terrasse-station-joliette/1575950553
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/sublease-3-1-2appartment-1st-august/1575951751
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-montreal/1575951275
,,,,,,,12/07/2021 11:51:30,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/superbe-condo-3-1-2-bureau-a-louer-quartier-montcalm/1572699686
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/furnished-studio-downtown-montreal/1575621918
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-min-to-metro-angrinion-51-2-in-the-first-floor-for-rent/1575950436
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-renovated-studio-near-metro-vendome-for-august/1575940587
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-appartement-3-1-2-renove/1575900630
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-parc-jarry-mile-ex-petite-italie-1er-septembre/1575909543
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/flatmate-wanted/1575907382
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/duplex-neer-lasalle-college-for-rent/1575902332
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/lease-transfert-for-a-spacious-2-bdrs-apt-in-mile-end-park-av/1575870224
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/maison-de-ville-neuve-a-louer/1575927781
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/saint-hyacinthe/beau-4-1-2-renove-sorel-tracy/1575889742
,,,,,,,12/07/2021 11:51:31,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/large-appartement-4-dispo-1er-aout/1575914471
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-et-demi-a-louer-a-richelieu-pres-de-chambly/1575902942
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/grand-4-1-2-double-ch-rdc-cour-privee-station-mont-royal/1575852783
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/logement-appartement-condo-a-louer/1386783365
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-in-town-of-mount-royal-tmy/1574665577
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/charmant-petit-3-1-2-en-face-d-un-parc-a-verdun-avec-stationneme/1574996400
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-et-demi-style-studio-5-minutes-de-metro-parc-montreal/1567407720
,,,,,,,12/07/2021 11:51:32,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studios-lofts-entierement-renoves-dans-3-plex-tout-inclus/1568332315
ADDRESS,AGREEMENT_TYPE,AIR_CONDITIONING,APPLIANCE,BATHROOM_NB,BEDROOM_NB,BUILDING_AMENITIES,COLLECTED_DATE,FURNISHED,LOCATION,MOVING_DATE,PARKING,PERSONAL_OUTDOOR_SPACE,PET_FRIENDLY,PRICE,SMOKING_PERMITTED,TELECOM,TYPE,UNIT_SIZE,UTILITIES,WEB_LINK
"19200 Boulevard Henri-Bourassa, Québec, QC G1G 0B4, Canada",1 Year,Yes,Laundry (In Unit),Bathrooms: 1,Bedrooms: 2,"Gym,Pool,Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:27:35,No,"{'Type': 'Point', 'Coordinates': ['-71.29757', '46.89251']}","August 1, 2021",2,Yard,Limited,1275,Outdoors only,,Condo,904,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/condo-penthouse-4-1-2-au-sommet-charlesbougrg-1er-mois-gratuit/1545782655
"H1W 1R9, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 4,,12/07/2021 12:27:35,No,"{'Type': 'Point', 'Coordinates': ['-73.54401', '45.54601']}","July 1, 2021",0,Balcony,Limited,1350,Yes,Not Included,Apartment,"1,200","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-chambres-grande-terrasse-station-joliette/1575950553
"Rue Modigliani, Saint-Laurent, QC H4R 0J1, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,Storage Space,12/07/2021 12:27:35,No,"{'Type': 'Point', 'Coordinates': ['-73.71769', '45.51242']}","August 1, 2021",1,Yard,No,1500,Outdoors only,Not Included,Condo,980,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/lease-transfer/1575949982
"880 Père-Marquette, G1S2A4, Québec, QC",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 1 + Den,"Gym,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:27:35,Yes,"{'Type': 'Point', 'Coordinates': ['-71.24059', '46.79834']}","July 4, 2021",2,Balcony,No,1700,No,Not Included,Condo,733,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/superbe-condo-3-1-2-bureau-a-louer-quartier-montcalm/1572699686
"156 Rachel Est, H2W1E2, Montreal, QC",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,Storage Space,12/07/2021 12:27:35,No,"{'Type': 'Point', 'Coordinates': ['-73.58008', '45.51956']}","August 1, 2021",0,Balcony,No,2195,No,Not Included,Apartment,715,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-de-luxe-ensoleille-sunny-luxury-condo/1575949943
